Al0.5,Cr0.1,Ni0.2,Ti0.2
Al0.4,Cr0.12,Fe0.32,Nb0.16
Al0.4,Cr0.12,Hf0.36,Zr0.12
Al0.43478261,Cr0.2173913,Mn0.17391304,Zr0.17391304
Al0.38461538,Cr0.19230769,Nb0.19230769,Ti0.23076923
Al0.32258065,Cr0.19354839,Cu0.22580645,V0.25806452
Al0.37037037,Cr0.22222222,Cu0.37037037,V0.03703704
Al0.29411765,Cr0.17647059,Fe0.26470588,Mn0.26470588
Al0.47619048,Cr0.28571429,Hf0.14285714,Zr0.0952381
Al0.3030303,Cr0.18181818,Ni0.24242424,V0.27272727
Al0.41666667,Cr0.29166667,Mn0.25,Zr0.04166667
Al0.35714286,Cr0.25,Nb0.03571429,V0.35714286
Al0.3030303,Cr0.21212121,Ni0.21212121,Ti0.27272727
Al0.32258065,Cr0.25806452,Fe0.32258065,W0.09677419
Al0.3125,Cr0.28125,Fe0.21875,W0.1875
Al0.28571429,Cr0.25714286,Mo0.25714286,W0.2
Al0.29411765,Cr0.26470588,Ti0.20588235,V0.23529412
Al0.35714286,Cr0.35714286,Ni0.03571429,V0.25
Al0.33333333,Cr0.33333333,Ti0.16666667,W0.16666667
Al0.45454545,Cu0.04545455,Fe0.18181818,Nb0.31818182
Al0.625,Cu0.0625,Mn0.0625,V0.25
Al0.38461538,Cu0.07692308,Hf0.19230769,Ti0.34615385
Al0.52631579,Cu0.15789474,Fe0.15789474,V0.15789474
Al0.3030303,Cu0.09090909,Fe0.3030303,Ni0.3030303
Al0.41666667,Cu0.125,Ni0.04166667,Zr0.41666667
Al0.5,Cu0.2,Hf0.25,Zr0.05
Al0.625,Cu0.25,Nb0.0625,W0.0625
Al0.33333333,Cu0.2,Fe0.26666667,Mo0.2
Al0.3125,Cu0.1875,Hf0.21875,Zr0.28125
Al0.33333333,Cu0.2,Mo0.23333333,V0.23333333
Al0.3125,Cu0.25,Ti0.1875,V0.25
Al0.27777778,Cu0.25,Fe0.25,Ni0.22222222
Al0.3030303,Cu0.27272727,Mo0.18181818,Ni0.24242424
Al0.27777778,Cu0.25,Mo0.22222222,Ti0.25
Al0.38461538,Cu0.34615385,Nb0.07692308,Ti0.19230769
Al0.28571429,Cu0.25714286,Ti0.25714286,V0.2
Al0.38461538,Fe0.03846154,Hf0.34615385,Nb0.23076923
Al0.47619048,Fe0.04761905,Nb0.28571429,W0.19047619
Al0.41666667,Fe0.125,Mn0.29166667,Mo0.16666667
Al0.625,Fe0.25,Hf0.0625,Mo0.0625
Al0.4,Fe0.16,Mo0.04,Ti0.4
Al0.41666667,Fe0.16666667,V0.04166667,W0.375
Al0.34482759,Fe0.20689655,Nb0.24137931,Zr0.20689655
Al0.35714286,Fe0.25,Mn0.21428571,V0.17857143
